"STATE","FLOOD_CAUSE","BEGIN_DATE_TIME","END_DATE_TIME"
"Illinois","Heavy Rain","2020/5/1","2020/5/13"
"Illinois","Heavy Rain","2020/5/1","2020/5/12"
"Alaska","Heavy Rain / Snow Melt","2020/5/6","2020/5/10"
"Alaska","Ice Jam","2020/5/1","2020/5/4"
"North Carolina","Heavy Rain","2020/5/29","2020/5/29"
"Ohio","Heavy Rain","2020/5/25","2020/5/25"
"Illinois","Heavy Rain","2020/5/17","2020/5/17"
"Virginia","Heavy Rain","2020/2/6","2020/2/6"
"Missouri","Heavy Rain","2020/5/13","2020/5/13"
"Kansas","Heavy Rain","2020/5/12","2020/5/12"
"North Carolina","Heavy Rain","2020/5/21","2020/5/21"
"Arkansas","Heavy Rain","2020/5/22","2020/5/23"
"Ohio","Heavy Rain","2020/5/19","2020/5/19"
"Virginia","Heavy Rain","2020/5/16","2020/5/16"
"Louisiana","Heavy Rain","2020/5/20","2020/5/20"
"Kentucky","Heavy Rain","2020/5/5","2020/5/5"
"Kentucky","Heavy Rain","2020/5/19","2020/5/19"
"Mississippi","Heavy Rain","2020/5/26","2020/5/26"
"Mississippi","Heavy Rain","2020/5/27","2020/5/27"
"Illinois","Heavy Rain","2020/5/1","2020/5/11"
"Illinois","Heavy Rain","2020/5/1","2020/5/4"
"Illinois","Heavy Rain","2020/5/5","2020/5/7"
"Indiana","Heavy Rain","2020/5/6","2020/5/9"
"Indiana","Heavy Rain","2020/5/5","2020/5/8"
"Missouri","Heavy Rain","2020/5/1","2020/5/6"
"Nebraska","Heavy Rain","2020/5/22","2020/5/24"
"Michigan","Heavy Rain","2020/5/20","2020/5/21"
"Missouri","Heavy Rain","2020/5/15","2020/5/15"
"Missouri","Heavy Rain","2020/5/17","2020/5/17"
"Pennsylvania","Heavy Rain","2020/2/13","2020/2/13"
"Virginia","Heavy Rain","2020/5/24","2020/5/24"
"Texas","Heavy Rain","2020/5/11","2020/5/11"
"North Carolina","Heavy Rain / Tropical System","2020/5/28","2020/5/28"
"South Carolina","Heavy Rain / Tropical System","2020/5/28","2020/5/28"
"South Carolina","Heavy Rain","2020/5/29","2020/5/29"
"Wisconsin","Heavy Rain","2020/5/28","2020/5/28"
"Virginia","Heavy Rain","2020/5/29","2020/5/29"
"Indiana","Heavy Rain","2020/5/23","2020/5/23"
"Illinois","Heavy Rain","2020/5/21","2020/5/31"
"Illinois","Heavy Rain","2020/5/23","2020/5/31"
"Illinois","Heavy Rain","2020/5/26","2020/5/31"
"Illinois","Heavy Rain","2020/5/22","2020/5/27"
"Illinois","Heavy Rain","2020/5/22","2020/5/26"
"Kentucky","Heavy Rain","2020/5/24","2020/5/31"
"Michigan","Heavy Rain","2020/5/18","2020/5/19"
"Virginia","Heavy Rain","2020/5/21","2020/5/22"
"Virginia","Heavy Rain","2020/5/21","2020/5/21"
"Ohio","Heavy Rain","2020/2/13","2020/2/13"
"Alabama","Heavy Rain","2020/2/11","2020/2/11"
"New York","Heavy Rain","2020/5/15","2020/5/15"
"Arizona","Heavy Rain","2020/5/10","2020/5/10"
"Ohio","Heavy Rain","2020/5/20","2020/5/21"
"Pennsylvania","Heavy Rain","2020/5/29","2020/5/29"
"West Virginia","Heavy Rain","2020/12/2","2020/12/2"
"Virginia","Heavy Rain","2020/12/1","2020/12/1"
"Missouri","Heavy Rain","2020/5/18","2020/5/31"
"Missouri","Heavy Rain","2020/5/31","2020/5/31"
"South Carolina","Heavy Rain","2020/5/24","2020/5/24"
"Michigan","Heavy Rain","2020/5/18","2020/5/26"
"Texas","Heavy Rain","2020/5/15","2020/5/15"
"Ohio","Heavy Rain","2020/5/18","2020/5/18"
"Arkansas","Heavy Rain","2020/5/23","2020/5/23"
"Nebraska","Heavy Rain","2020/5/24","2020/5/24"
"New Hampshire","Heavy Rain / Snow Melt","2020/5/27","2020/5/27"
"Kentucky","Heavy Rain","2020/5/25","2020/5/25"
"Kentucky","Heavy Rain","2020/7/1","2020/7/1"
"Florida","Heavy Rain","2020/5/25","2020/5/25"
"Michigan","Dam / Levee Break","2020/5/19","2020/5/20"
"North Carolina","Heavy Rain","2020/5/22","2020/5/22"
"Louisiana","Heavy Rain","2020/5/14","2020/5/14"
"Georgia","Heavy Rain","2020/2/20","2020/2/29"
"Missouri","Heavy Rain","2020/5/12","2020/5/12"
"Massachusetts","Heavy Rain","2020/5/23","2020/5/23"
"Kentucky","Heavy Rain","2020/5/24","2020/5/24"
"Illinois","Heavy Rain","2020/5/23","2020/5/23"
"California","Heavy Rain","2020/5/18","2020/5/18"
"Michigan","Heavy Rain","2020/5/18","2020/5/31"
"South Carolina","Heavy Rain","2020/5/27","2020/5/27"
