"EVENT_ID","LOCATION","LATITUDE","LONGITUDE"
881778,"Birmingham",34.1617,-84.2842
881778,"Birmingham",34.1655,-84.2798
881780,"Bold Spgs",33.89,-83.82
881780,"Bold Spgs",33.8908,-83.8299
881780,"Bold Spgs",33.8813,-83.8281
881780,"Bold Spgs",33.8837,-83.8182
881781,"Bright",34.35,-84.07
881781,"Bright",34.3512,-84.0767
881781,"Bright",34.3484,-84.0793
881781,"Bright",34.3439,-84.0701
881781,"Bright",34.3396,-84.0656
881781,"Bright",34.3424,-84.0634
881781,"Bright",34.3478,-84.0662
881782,"Bright",34.38,-84.08
881782,"Bright",34.3797,-84.0834
881782,"Bright",34.3778,-84.0867
881782,"Bright",34.3743,-84.0841
881782,"Bright",34.377,-84.077
881783,"Sandy Spgs",33.93,-84.43
881783,"Sandy Spgs",33.9387,-84.4339
881783,"Sandy Spgs",33.9411,-84.4364
881783,"Sandy Spgs",33.9388,-84.4391
881783,"Sandy Spgs",33.9321,-84.4376
881783,"Sandy Spgs",33.9237,-84.4312
881783,"Sandy Spgs",33.9259,-84.4259
881785,"Vinings",33.8776,-84.447
881785,"Vinings",33.8766,-84.4482
881785,"Vinings",33.8802,-84.4515
881785,"Vinings",33.8903,-84.4579
881785,"Vinings",33.8916,-84.4546
881785,"Vinings",33.8825,-84.4486
885736,"Dalesburg",38.48,-83.7078
885740,"Eglon",37.4295,-84.1399
885744,"Waneta",37.47,-84.04
885748,"Foxtown",37.5077,-83.9938
885753,"Annville",37.32,-83.97
885759,"Ravenna",37.6897,-83.9275
885763,"Symbol",37.2627,-84.1685
885763,"Symbol",37.2771,-84.1606
885764,"Slade",37.7689,-83.7398
885765,"Lower Buffalo",37.5199,-83.6984
885768,"Gates",38.2599,-83.379
885769,"Haldeman",38.227,-83.3167
885770,"Paxton",37.6589,-83.4049
885773,"West Liberty",37.9139,-83.2635
885775,"Flatgap",37.92,-82.89
885776,"Paintsville",37.82,-82.81
885712,"Station Sdhn4",40.467,-74.009
885715,"Assaria",38.68,-97.6
885724,"Little Neck",40.76,-73.74
885727,"Hicksville",40.7882,-73.5056
885730,"Hicksville",40.7868,-73.5106
885733,"Fire Island Wxflow",40.6392,-73.7639
885750,"Station 44025",41.2018,-72.1192
885738,"Versailles",41.6,-72.02
885742,"Jewett City",41.6082,-71.9771
885978,"Dwyer",39.69,-84.21
885979,"National Military Ho",39.75,-84.25
885980,"Crosswick",39.53,-84.09
885981,"Goes",39.7835,-83.9208
885982,"Ft Mc Kinley",39.78,-84.24
886249,"Mt St Joseph",39.1,-84.63
886250,"Cox Dayton Intl",39.9,-84.22
886251,"Lebanon Jct",39.73,-84.13
886252,"Lebanon Jct",39.74,-84.13
886253,"Morgan Place",39.89,-84.26
886254,"Troy",40.06,-84.2
886257,"Piqua",40.1647,-84.2556
886258,"Goes",39.7843,-83.936
886374,"Sidney",40.2801,-84.155
886376,"Sidney",40.28,-84.15
886377,"Sidney",40.2793,-84.1628
886378,"Port Jefferson",40.33,-84.09
886379,"Pleasant Hill",40.0549,-84.3471
891024,"Sugar Grove",40.0774,-84.354
891024,"Sugar Grove",40.0781,-84.3456
886010,"Durango",37.3089,-107.7882
886113,"Rhame",46.01,-103.8
886116,"Rhame",46.24,-103.61
886117,"Hettinger Arpt",46.01,-102.64
886129,"Bowman",46.19,-103.39
886180,"Minot",48.2,-101.31
886065,"Reedsburg Muni Arpt",43.54,-89.94
886065,"Baraboo",43.4634,-89.713
886067,"Lone Rock Airport",43.21,-90.19
886075,"Blue Mounds",43.02,-89.83
886076,"Maple Bluff",43.1,-89.33
886080,"Westfield",43.88,-89.52
886080,"Endeavor",43.672,-89.4598
886083,"Marquette",43.74,-89.14
886084,"Kingston",43.69,-89.13
886090,"Wisconsin Dells",43.62,-89.77
886097,"Portage",43.55,-89.47
886097,"Pardeeville",43.5341,-89.3019
886098,"Lewiston",43.63,-89.56
886104,"Arlington",43.34,-89.38
886125,"Fond Du Lac  Airport",43.7816,-88.4836
886125,"Taycheedah",43.7601,-88.3947
886131,"Mt Calvary",43.83,-88.25
886132,"Johnsburg",43.88,-88.24
886133,"Mt Calvary",43.81,-88.22
886134,"Dundee",43.65,-88.2
